P-file for Alice
0 1.0 0.4
1 1.0 0.6
2 1.0 0.8
3 1.0 0.8
4 1.0 0.9
5 1.0 0.2
6 1.0 0.6
7 1.0 0.3
8 1.0 0.1
9 1.0 0.4
10 1.0 0.6
11 1.0 0.0
12 1.0 0.9
13 1.0 0.2
14 1.0 0.2
15 1.0 0.1
16 1.0 0.0
17 1.0 0.9
18 1.0 0.7
19 1.0 0.2
20 1.0 0.6
21 1.0 0.1
22 1.0 0.8
23 1.0 0.9
24 1.0 0.9
25 1.0 0.5
26 1.0 0.5
27 1.0 0.5
28 1.0 0.0
29 1.0 0.1
30 1.0 0.2
31 1.0 0.0
32 1.0 0.8
33 1.0 0.9
34 1.0 0.0
35 1.0 0.4
36 1.0 1.0
37 1.0 0.1
38 1.0 0.6
39 1.0 0.1
40 1.0 0.0
41 1.0 0.9
42 1.0 0.2
43 1.0 0.8
44 1.0 0.4
45 1.0 0.0
46 1.0 0.6
47 1.0 0.0
48 1.0 0.6
49 1.0 0.4
50 1.0 0.7
51 1.0 0.4
52 1.0 0.8
53 1.0 0.4
54 1.0 0.7
55 1.0 0.2
56 1.0 0.8
57 1.0 0.8
58 1.0 0.5
59 1.0 0.1
60 1.0 1.0
61 1.0 0.4
62 1.0 0.7
63 1.0 0.7
64 1.0 0.6
65 1.0 0.7
66 1.0 0.9
67 1.0 0.4
68 1.0 0.9
69 1.0 0.6
70 1.0 0.8
71 1.0 0.5
72 1.0 0.5
73 1.0 0.2
74 1.0 1.0
75 1.0 0.6
76 1.0 0.9
77 1.0 0.8
78 1.0 0.6
79 1.0 0.3
80 1.0 0.8
81 1.0 1.0
82 1.0 1.0
83 1.0 1.0
84 1.0 0.0
85 1.0 0.0
86 1.0 0.1
87 1.0 0.4
88 1.0 0.4
89 1.0 0.2
90 1.0 0.4
91 1.0 0.9
92 1.0 0.4
93 1.0 0.5
94 1.0 0.6
95 1.0 0.3
96 1.0 0.0
