Q-file for Alice
0 1.0 0.6
1 1.0 0.2
2 1.0 0.0
3 1.0 0.1
4 1.0 0.5
5 1.0 0.8
6 1.0 0.4
7 1.0 0.7
8 1.0 0.4
9 1.0 0.8
10 1.0 0.4
11 1.0 1.0
12 1.0 0.0
13 1.0 0.2
14 1.0 1.0
15 1.0 0.5
16 1.0 0.3
17 1.0 0.8
18 1.0 1.0
19 1.0 0.0
20 1.0 0.9
21 1.0 0.0
22 1.0 0.8
23 1.0 0.0
24 1.0 0.7
25 1.0 1.0
26 1.0 0.2
27 1.0 0.8
28 1.0 0.3
29 1.0 0.4
30 1.0 0.2
31 1.0 1.0
32 1.0 0.8
33 1.0 0.6
34 1.0 0.7
35 1.0 0.4
36 1.0 0.7
37 1.0 0.1
38 1.0 0.1
39 1.0 0.9
40 1.0 1.0
41 1.0 0.1
42 1.0 0.2
43 1.0 0.1
44 1.0 0.6
45 1.0 0.4
46 1.0 0.5
47 1.0 0.7
48 1.0 1.0
49 1.0 0.5
50 1.0 1.0
51 1.0 0.0
52 1.0 0.9
53 1.0 0.4
54 1.0 0.4
55 1.0 0.9
56 1.0 0.0
57 1.0 0.6
58 1.0 0.1
59 1.0 0.3
60 1.0 0.7
61 1.0 0.0
62 1.0 0.1
63 1.0 0.0
64 1.0 0.4
65 1.0 0.6
66 1.0 0.3
67 1.0 0.1
68 1.0 0.2
69 1.0 0.7
70 1.0 0.2
71 1.0 0.6
72 1.0 0.7
73 1.0 1.0
74 1.0 0.9
75 1.0 0.4
76 1.0 0.0
77 1.0 0.6
78 1.0 0.5
79 1.0 0.5
80 1.0 0.3
81 1.0 0.8
82 1.0 0.9
83 1.0 0.8
84 1.0 0.5
85 1.0 0.3
86 1.0 0.5
87 1.0 0.0
88 1.0 0.9
89 1.0 0.1
90 1.0 0.4
91 1.0 0.5
92 1.0 0.2
93 1.0 0.1
94 1.0 0.7
95 1.0 0.7
96 1.0 0.1
