R-file for Alice
0 0.1 0.3
1 1.0 0.8
2 0.5 0.4
3 1.0 0.7
4 0.9 0.7
5 0.1 0.2
6 0.9 0.8
7 1.0 0.1
8 0.5 0.6
9 1.0 0.5
10 0.2 0.5
11 0.7 0.0
12 0.1 0.8
13 0.4 0.6
14 0.8 0.3
15 0.1 0.9
16 0.3 0.4
17 0.8 0.1
18 0.8 0.2
19 0.9 0.4
20 0.3 0.6
21 0.1 0.5
22 0.8 0.8
23 0.6 0.1
24 0.8 0.6
25 0.0 0.8
26 0.3 0.2
27 0.2 0.5
28 1.0 0.6
29 0.7 0.8
30 0.9 0.0
31 0.7 0.9
32 0.7 0.7
33 0.2 0.9
34 0.7 1.0
35 0.2 0.5
36 0.8 0.5
37 0.7 0.5
38 0.7 0.7
39 0.8 0.4
40 0.3 0.6
41 0.2 0.6
42 0.3 0.3
43 0.8 0.5
44 0.0 0.9
45 0.0 0.5
46 0.8 0.4
47 1.0 0.1
48 0.7 0.3
49 0.2 0.4
50 1.0 0.3
51 0.0 0.1
52 0.8 0.0
53 1.0 0.0
54 0.7 0.7
55 0.7 0.2
56 0.6 0.8
57 0.5 0.7
58 0.7 0.1
59 0.7 1.0
60 0.2 0.5
61 0.9 0.0
62 0.2 0.6
63 0.8 0.6
64 0.0 0.7
65 0.5 0.4
66 0.1 0.8
67 0.7 0.9
68 0.2 0.5
69 0.2 0.0
70 0.3 0.5
71 0.3 0.2
72 0.6 0.3
73 0.9 0.8
74 0.0 0.8
75 0.9 0.1
76 0.5 0.7
77 0.3 1.0
78 0.9 0.5
79 0.6 0.2
80 0.9 0.6
81 0.9 0.9
82 0.6 0.8
83 0.3 1.0
84 0.8 1.0
85 0.4 0.8
86 0.0 0.5
87 0.6 0.6
88 1.0 0.3
89 0.3 0.9
90 0.8 0.8
91 0.6 0.0
92 0.9 0.0
93 0.7 1.0
94 0.3 0.6
95 0.7 0.6
96 0.0 0.4
