Profile for BertAliceP
0 1.0 0.95
1 1.0 0.95
2 1.0 0.25
3 1.0 0.75
4 1.0 0.85
5 1.0 0.15
6 1.0 0.85
7 1.0 0.85
8 1.0 0.65
9 1.0 0.85
10 1.0 0.75
11 1.0 0.75
12 1.0 0.75
13 1.0 0.75
14 1.0 0.85
15 1.0 0.65
16 1.0 0.95
17 1.0 0.85
18 1.0 0.65
19 1.0 0.75
20 1.0 0.85
21 1.0 0.80
22 1.0 0.75
23 1.0 0.35
24 1.0 0.65
25 1.0 0.85
26 1.0 0.95
27 1.0 0.85
28 1.0 0.55
29 1.0 0.85
30 1.0 0.85
31 1.0 0.35
32 1.0 0.85
33 1.0 0.55
34 1.0 0.85
35 1.0 0.85
36 1.0 0.85
37 1.0 0.85
38 1.0 0.15
39 1.0 0.85
40 1.0 0.85
41 1.0 0.85
42 1.0 0.85
43 1.0 0.85
44 1.0 0.75
45 1.0 0.25
46 1.0 0.75
47 1.0 0.35
48 1.0 0.35
49 1.0 0.45
50 1.0 0.75
51 1.0 0.85
52 1.0 0.65
53 1.0 0.85
54 1.0 0.85
55 1.0 0.85
56 1.0 0.55
57 1.0 0.75
58 1.0 0.75
59 1.0 0.75
60 1.0 0.75
61 1.0 0.75
62 1.0 0.85
63 1.0 0.85
64 1.0 0.25
65 1.0 0.85
66 1.0 0.85
67 1.0 0.75
68 1.0 0.85
69 1.0 0.85
70 1.0 0.85
71 1.0 0.85
72 1.0 0.85
73 1.0 0.85
74 1.0 0.85
75 1.0 0.85
76 1.0 0.85
77 1.0 0.55
78 1.0 0.85
79 1.0 0.85
80 1.0 0.85
81 1.0 0.44
82 1.0 0.85
83 1.0 0.55
84 1.0 0.75
85 1.0 0.75
86 1.0 0.85
87 1.0 0.15
88 1.0 0.75
89 1.0 0.55
90 1.0 0.85
91 1.0 0.75
92 1.0 0.85
93 1.0 0.85
94 1.0 0.15
95 1.0 0.85
96 1.0 0.85
