Profile for BertAliceQ
0 1.0 0.9
1 1.0 0.9
2 1.0 0.4
3 1.0 0.8
4 1.0 0.8
5 1.0 0.2
6 1.0 0.75
7 1.0 0.8
8 1.0 0.8
9 1.0 0.8
10 1.0 0.7
11 1.0 0.9
12 1.0 0.4
13 1.0 0.7
14 1.0 0.7
15 1.0 0.8
16 1.0 0.8
17 1.0 0.8
18 1.0 0.5
19 1.0 0.8
20 1.0 0.8
21 1.0 0.8
22 1.0 0.8
23 1.0 0.8
24 1.0 0.5
25 1.0 0.9
26 1.0 0.9
27 1.0 0.9
28 1.0 0.8
29 1.0 0.8
30 1.0 0.8
31 1.0 0.6
32 1.0 0.9
33 1.0 0.9
34 1.0 0.9
35 1.0 0.8
36 1.0 0.9
37 1.0 0.9
38 1.0 0.5
39 1.0 0.8
40 1.0 0.8
41 1.0 0.8
42 1.0 0.8
43 1.0 0.8
44 1.0 0.8
45 1.0 0.3
46 1.0 0.6
47 1.0 0.5
48 1.0 0.5
49 1.0 0.8
50 1.0 0.5
51 1.0 0.7
52 1.0 0.8
53 1.0 0.8
54 1.0 0.8
55 1.0 0.8
56 1.0 0.5
57 1.0 0.8
58 1.0 0.5
59 1.0 0.8
60 1.0 0.85
61 1.0 0.8
62 1.0 0.9
63 1.0 0.8
64 1.0 0.2
65 1.0 0.25
66 1.0 0.75
67 1.0 0.5
68 1.0 0.85
69 1.0 0.65
70 1.0 0.65
71 1.0 0.85
72 1.0 0.75
73 1.0 0.65
74 1.0 0.85
75 1.0 0.7
76 1.0 0.45
77 1.0 0.45
78 1.0 0.85
79 1.0 0.85
80 1.0 0.85
81 1.0 0.45
82 1.0 0.85
83 1.0 0.85
84 1.0 0.75
85 1.0 0.85
86 1.0 0.9
87 1.0 0.15
88 1.0 0.95
89 1.0 0.55
90 1.0 0.75
91 1.0 0.55
92 1.0 0.75
93 1.0 0.75
94 1.0 0.55
95 1.0 0.9
96 1.0 0.75
