Profile for BertAliceR
0 0.5 0.85
1 0.6 0.65
2 0.6 0.65
3 0.6 0.75
4 0.5 0.5
5 0.9 0.15
6 0.8 0.75
7 0.5 0.75
8 0.5 0.45
9 0.8 0.75
10 0.5 0.65
11 0.8 0.9
12 0.5 0.65
13 0.5 0.65
14 0.7 0.8
15 0.5 0.75
16 0.4 0.6
17 0.7 0.75
18 0.3 0.55
19 0.3 0.55
20 0.3 0.7
21 0.7 0.8
22 0.6 0.85
23 0.5 0.8
24 0.5 0.7
25 0.4 0.6
26 0.8 0.85
27 0.8 0.95
28 0.5 0.7
29 0.5 0.8
30 0.3 0.75
31 0.5 0.65
32 0.9 0.85
33 0.4 0.65
34 0.8 0.8
35 0.7 0.75
36 0.7 0.85
37 0.7 0.65
38 0.5 0.35
39 0.8 0.85
40 0.7 0.65
41 0.8 0.85
42 0.8 0.75
43 0.6 0.85
44 0.5 0.55
45 0.5 0.15
46 0.5 0.5
47 0.6 0.55
48 0.8 0.55
49 0.7 0.75
50 0.5 0.55
51 0.3 0.65
52 0.6 0.65
53 0.7 0.75
54 0.2 0.55
55 0.8 0.85
56 0.9 0.5
57 0.8 0.75
58 0.5 0.45
59 0.5 0.7
60 0.3 0.5
61 0.8 0.85
62 0.2 0.75
63 0.4 0.65
64 0.5 0.65
65 0.3 0.65
66 0.3 0.65
67 0.3 0.65
68 0.6 0.75
69 0.4 0.55
70 0.7 0.75
71 0.8 0.85
72 0.7 0.75
73 0.6 0.7
74 0.5 0.65
75 0.5 0.55
76 0.5 0.55
77 0.2 0.5
78 0.7 0.75
79 0.5 0.55
80 0.6 0.75
81 0.3 0.55
82 0.7 0.75
83 0.5 0.7
84 0.4 0.6
85 0.4 0.55
86 0.6 0.65
87 0.3 0.55
88 0.4 0.5
89 0.4 0.5
90 0.3 0.65
91 0.4 0.7
92 0.8 0.85
93 0.7 0.75
94 0.5 0.5
95 0.7 0.75
96 0.6 0.8
