Profile for BertBobP
0 1.0 0.95
1 1.0 0.25
2 1.0 0.75
3 1.0 0.75
4 1.0 0.75
5 1.0 0.25
6 1.0 0.85
7 1.0 0.85
8 1.0 0.55
9 1.0 0.55
10 1.0 0.65
11 1.0 0.65
12 1.0 0.65
13 1.0 0.35
14 1.0 0.35
15 1.0 0.75
16 1.0 0.85
17 1.0 0.65
18 1.0 0.75
19 1.0 0.65
20 1.0 0.65
21 1.0 0.65
22 1.0 0.75
23 1.0 0.65
24 1.0 0.75
25 1.0 0.85
26 1.0 0.85
27 1.0 0.55
28 1.0 0.45
29 1.0 0.65
30 1.0 0.55
31 1.0 0.45
32 1.0 0.75
33 1.0 0.75
34 1.0 0.75
35 1.0 0.55
36 1.0 0.55
37 1.0 0.75
38 1.0 0.35
39 1.0 0.75
40 1.0 0.75
41 1.0 0.85
42 1.0 0.85
43 1.0 0.55
44 1.0 0.65
45 1.0 0.65
46 1.0 0.65
47 1.0 0.45
48 1.0 0.25
49 1.0 0.35
50 1.0 0.35
51 1.0 0.75
52 1.0 0.55
53 1.0 0.35
54 1.0 0.65
55 1.0 0.75
56 1.0 0.35
57 1.0 0.55
58 1.0 0.35
59 1.0 0.35
60 1.0 0.45
61 1.0 0.85
62 1.0 0.55
63 1.0 0.55
64 1.0 0.35
65 1.0 0.75
66 1.0 0.45
67 1.0 0.45
68 1.0 0.85
69 1.0 0.85
70 1.0 0.35
71 1.0 0.85
72 1.0 0.35
73 1.0 0.85
74 1.0 0.85
75 1.0 0.75
76 1.0 0.85
77 1.0 0.45
78 1.0 0.75
79 1.0 0.75
80 1.0 0.75
81 1.0 0.35
82 1.0 0.45
83 1.0 0.55
84 1.0 0.45
85 1.0 0.45
86 1.0 0.55
87 1.0 0.55
88 1.0 0.55
89 1.0 0.75
90 1.0 0.55
91 1.0 0.45
92 1.0 0.75
93 1.0 0.75
94 1.0 0.45
95 1.0 0.75
96 1.0 0.75
