Profile for BertBobQ
0 1.0 0.9
1 1.0 0.8
2 1.0 0.7
3 1.0 0.9
4 1.0 0.8
5 1.0 0.2
6 1.0 0.8
7 1.0 0.9
8 1.0 0.6
9 1.0 0.8
10 1.0 0.4
11 1.0 0.9
12 1.0 0.8
13 1.0 0.7
14 1.0 0.9
15 1.0 0.9
16 1.0 0.8
17 1.0 0.8
18 1.0 0.8
19 1.0 0.5
20 1.0 0.7
21 1.0 0.8
22 1.0 0.8
23 1.0 0.3
24 1.0 0.9
25 1.0 0.8
26 1.0 0.9
27 1.0 0.8
28 1.0 0.5
29 1.0 0.7
30 1.0 0.9
31 1.0 0.8
32 1.0 0.9
33 1.0 0.6
34 1.0 0.8
35 1.0 0.6
36 1.0 0.8
37 1.0 0.9
38 1.0 0.4
39 1.0 0.9
40 1.0 0.8
41 1.0 0.8
42 1.0 0.9
43 1.0 0.7
44 1.0 0.0
45 1.0 0.3
46 1.0 0.4
47 1.0 0.5
48 1.0 0.7
49 1.0 0.9
50 1.0 0.5
51 1.0 0.8
52 1.0 0.8
53 1.0 0.8
54 1.0 0.8
55 1.0 0.8
56 1.0 0.7
57 1.0 0.7
58 1.0 0.5
59 1.0 0.7
60 1.0 0.3
61 1.0 0.9
62 1.0 0.7
63 1.0 0.6
64 1.0 0.2
65 1.0 0.9
66 1.0 0.6
67 1.0 0.1
68 1.0 0.8
69 1.0 0.9
70 1.0 0.8
71 1.0 0.8
72 1.0 0.5
73 1.0 0.7
74 1.0 0.9
75 1.0 0.7
76 1.0 0.8
77 1.0 0.7
78 1.0 0.9
79 1.0 0.8
80 1.0 0.9
81 1.0 0.5
82 1.0 0.7
83 1.0 0.8
84 1.0 0.5
85 1.0 0.5
86 1.0 0.7
87 1.0 0.9
88 1.0 0.9
89 1.0 0.8
90 1.0 0.7
91 1.0 0.5
92 1.0 0.7
93 1.0 0.7
94 1.0 0.6
95 1.0 0.8
96 1.0 0.8
