Profile for BertBobR
0 0.9 0.9
1 0.6 0.7
2 0.5 0.7
3 0.3 0.8
4 0.4 0.8
5 0.6 0.2
6 0.7 0.9
7 0.7 0.8
8 0.2 0.7
9 0.8 0.9
10 0.4 0.4
11 0.8 0.9
12 0.3 0.8
13 0.3 0.5
14 0.5 0.7
15 0.2 0.6
16 0.6 0.8
17 0.2 0.6
18 0.3 0.5
19 0.3 0.6
20 0.5 0.8
21 0.5 0.8
22 0.3 0.7
23 0.6 0.6
24 0.6 0.8
25 0.7 0.8
26 0.9 0.9
27 0.9 0.9
28 0.6 0.5
29 0.9 0.9
30 0.9 0.9
31 0.5 0.9
32 0.7 0.9
33 0.6 0.8
34 0.5 0.8
35 0.4 0.8
36 0.9 0.9
37 0.5 0.7
38 0.5 0.4
39 1.0 0.9
40 0.3 0.8
41 0.6 0.8
42 0.7 0.8
43 0.3 0.7
44 0.6 0.4
45 0.5 0.3
46 0.1 0.5
47 0.5 0.5
48 0.5 0.7
49 0.8 0.9
50 0.0 0.5
51 0.6 0.7
52 0.4 0.7
53 0.3 0.6
54 0.4 0.7
55 0.7 0.8
56 0.7 0.8
57 0.2 0.5
58 0.4 0.6
59 0.2 0.7
60 0.4 0.6
61 0.9 0.9
62 0.7 0.8
63 0.6 0.5
64 0.7 0.2
65 0.7 0.9
66 0.6 0.5
67 0.5 0.3
68 0.8 0.9
69 0.7 0.8
70 0.9 0.9
71 0.7 0.8
72 0.4 0.6
73 0.6 0.9
74 0.5 0.8
75 0.7 0.6
76 0.2 0.7
77 0.2 0.6
78 0.6 0.8
79 0.5 0.6
80 0.5 0.8
81 0.8 0.9
82 0.7 0.8
83 0.2 0.8
84 0.6 0.5
85 0.3 0.5
86 0.5 0.8
87 0.5 0.5
88 0.4 0.7
89 0.6 0.5
90 0.3 0.5
91 0.3 0.5
92 0.3 0.6
93 0.3 0.8
94 0.4 0.5
95 0.8 0.9
96 0.6 0.8
