P-file for Bob
0 1.0 0.0
1 1.0 0.6
2 1.0 0.8
3 1.0 0.5
4 1.0 0.6
5 1.0 0.2
6 1.0 0.2
7 1.0 0.6
8 1.0 0.2
9 1.0 0.0
10 1.0 0.2
11 1.0 0.2
12 1.0 0.2
13 1.0 0.5
14 1.0 0.2
15 1.0 0.1
16 1.0 0.6
17 1.0 0.5
18 1.0 0.9
19 1.0 1.0
20 1.0 1.0
21 1.0 0.7
22 1.0 0.7
23 1.0 0.9
24 1.0 1.0
25 1.0 0.4
26 1.0 0.1
27 1.0 0.6
28 1.0 0.3
29 1.0 0.4
30 1.0 0.1
31 1.0 0.0
32 1.0 0.1
33 1.0 1.0
34 1.0 0.1
35 1.0 0.5
36 1.0 0.4
37 1.0 0.3
38 1.0 0.2
39 1.0 0.2
40 1.0 0.8
41 1.0 0.0
42 1.0 0.1
43 1.0 0.2
44 1.0 0.5
45 1.0 0.1
46 1.0 0.6
47 1.0 0.2
48 1.0 0.8
49 1.0 0.5
50 1.0 0.0
51 1.0 0.3
52 1.0 0.6
53 1.0 0.9
54 1.0 0.5
55 1.0 0.3
56 1.0 0.9
57 1.0 1.0
58 1.0 0.1
59 1.0 0.0
60 1.0 0.3
61 1.0 0.6
62 1.0 0.9
63 1.0 0.1
64 1.0 0.7
65 1.0 0.2
66 1.0 0.8
67 1.0 0.0
68 1.0 0.3
69 1.0 0.7
70 1.0 0.5
71 1.0 0.4
72 1.0 0.3
73 1.0 0.2
74 1.0 0.5
75 1.0 0.8
76 1.0 0.5
77 1.0 0.0
78 1.0 0.8
79 1.0 0.8
80 1.0 0.3
81 1.0 0.8
82 1.0 0.8
83 1.0 0.8
84 1.0 0.8
85 1.0 0.6
86 1.0 0.8
87 1.0 0.0
88 1.0 0.7
89 1.0 0.3
90 1.0 0.4
91 1.0 0.6
92 1.0 0.3
93 1.0 1.0
94 1.0 1.0
95 1.0 0.7
96 1.0 1.0
