Q-file for Bob
0 1.0 0.1
1 1.0 0.1
2 1.0 1.0
3 1.0 0.2
4 1.0 0.5
5 1.0 0.2
6 1.0 0.9
7 1.0 0.3
8 1.0 0.6
9 1.0 0.9
10 1.0 0.4
11 1.0 1.0
12 1.0 0.7
13 1.0 0.5
14 1.0 0.7
15 1.0 0.4
16 1.0 0.6
17 1.0 0.2
18 1.0 1.0
19 1.0 0.3
20 1.0 1.0
21 1.0 0.1
22 1.0 0.0
23 1.0 0.0
24 1.0 0.3
25 1.0 0.4
26 1.0 0.2
27 1.0 0.8
28 1.0 1.0
29 1.0 0.9
30 1.0 0.6
31 1.0 0.2
32 1.0 1.0
33 1.0 0.5
34 1.0 0.3
35 1.0 0.6
36 1.0 0.8
37 1.0 0.8
38 1.0 0.9
39 1.0 0.8
40 1.0 1.0
41 1.0 0.3
42 1.0 0.2
43 1.0 0.7
44 1.0 0.9
45 1.0 0.6
46 1.0 0.1
47 1.0 0.8
48 1.0 0.3
49 1.0 0.9
50 1.0 0.0
51 1.0 0.1
52 1.0 1.0
53 1.0 0.0
54 1.0 0.9
55 1.0 1.0
56 1.0 0.0
57 1.0 0.1
58 1.0 0.8
59 1.0 0.4
60 1.0 0.1
61 1.0 1.0
62 1.0 0.8
63 1.0 0.5
64 1.0 0.7
65 1.0 0.0
66 1.0 0.0
67 1.0 0.9
68 1.0 0.4
69 1.0 0.1
70 1.0 0.0
71 1.0 1.0
72 1.0 0.7
73 1.0 0.5
74 1.0 0.2
75 1.0 0.4
76 1.0 0.3
77 1.0 0.3
78 1.0 0.2
79 1.0 0.4
80 1.0 0.3
81 1.0 0.2
82 1.0 0.4
83 1.0 0.2
84 1.0 0.9
85 1.0 0.5
86 1.0 0.1
87 1.0 0.9
88 1.0 0.7
89 1.0 0.0
90 1.0 0.2
91 1.0 0.5
92 1.0 0.3
93 1.0 0.7
94 1.0 0.3
95 1.0 0.0
96 1.0 0.8
