R-file for Bob
0 0.9 1.0
1 0.4 0.3
2 1.0 0.9
3 0.0 0.7
4 0.7 0.5
5 0.9 0.7
6 0.4 0.8
7 0.9 0.6
8 0.7 0.6
9 0.6 0.2
10 0.3 0.9
11 0.5 0.5
12 0.4 0.8
13 0.7 0.6
14 0.2 0.2
15 0.1 0.9
16 0.3 0.4
17 0.2 0.3
18 0.0 0.0
19 0.9 0.6
20 0.6 0.2
21 0.8 0.9
22 0.5 0.1
23 0.1 0.5
24 1.0 0.0
25 1.0 0.5
26 0.7 0.2
27 1.0 0.9
28 0.9 0.5
29 0.6 0.9
30 0.3 0.9
31 0.4 0.7
32 0.7 0.8
33 0.1 1.0
34 0.4 0.9
35 0.6 0.7
36 0.2 0.3
37 0.1 0.1
38 0.0 0.1
39 0.5 0.4
40 0.4 0.2
41 0.8 0.0
42 0.0 0.8
43 1.0 0.5
44 0.6 0.3
45 0.0 0.6
46 0.1 0.6
47 0.9 0.1
48 0.6 0.9
49 0.2 0.8
50 1.0 0.3
51 0.4 0.3
52 1.0 0.4
53 0.7 0.5
54 0.1 0.6
55 0.9 0.2
56 0.6 0.3
57 0.4 0.8
58 0.0 0.8
59 0.0 0.9
60 0.0 0.5
61 0.4 0.1
62 0.1 0.7
63 0.6 0.1
64 0.3 0.2
65 0.5 0.2
66 0.3 0.6
67 0.1 0.1
68 1.0 0.4
69 0.2 0.7
70 0.1 0.0
71 0.3 1.0
72 0.1 0.0
73 0.4 0.9
74 1.0 0.2
75 0.4 0.4
76 0.3 0.1
77 0.5 0.7
78 0.0 0.9
79 0.5 0.4
80 0.4 0.4
81 0.9 0.6
82 1.0 0.9
83 0.1 0.6
84 0.8 0.2
85 0.3 0.6
86 0.1 0.3
87 0.9 0.4
88 0.2 0.2
89 0.9 0.6
90 0.8 0.4
91 0.3 0.8
92 0.2 1.0
93 0.0 1.0
94 0.8 1.0
95 1.0 0.5
96 0.1 0.3
