Profile for HebeP
0 1.0 0.7
1 1.0 0.8
2 1.0 0.9
3 1.0 0.7
4 1.0 0.6
5 1.0 0.9
6 1.0 0.8
7 1.0 1.0
8 1.0 1.0
9 1.0 0.7
10 1.0 0.8
11 1.0 0.8
12 1.0 0.5
13 1.0 0.6
14 1.0 0.9
15 1.0 0.7
16 1.0 0.8
17 1.0 0.8
18 1.0 0.3
19 1.0 0.8
20 1.0 0.9
21 1.0 0.6
22 1.0 0.8
23 1.0 0.8
24 1.0 0.9
25 1.0 0.9
26 1.0 0.9
27 1.0 0.9
28 1.0 1.0
29 1.0 0.8
30 1.0 0.8
31 1.0 1.0
32 1.0 0.8
33 1.0 0.6
34 1.0 0.7
35 1.0 0.6
36 1.0 1.0
37 1.0 0.8
38 1.0 1.0
39 1.0 1.0
40 1.0 0.7
41 1.0 0.9
42 1.0 0.8
43 1.0 0.8
44 1.0 0.1
45 1.0 0.9
46 1.0 0.5
47 1.0 0.9
48 1.0 0.9
49 1.0 0.3
50 1.0 0.5
51 1.0 0.6
52 1.0 0.6
53 1.0 0.3
54 1.0 1.0
55 1.0 0.6
56 1.0 0.6
57 1.0 0.5
58 1.0 0.8
59 1.0 0.9
60 1.0 0.8
61 1.0 0.8
62 1.0 0.6
63 1.0 1.0
64 1.0 0.4
65 1.0 0.6
66 1.0 0.8
67 1.0 0.1
68 1.0 0.8
69 1.0 0.9
70 1.0 0.9
71 1.0 0.9
72 1.0 0.9
73 1.0 0.9
74 1.0 0.8
75 1.0 0.9
76 1.0 0.9
77 1.0 0.6
78 1.0 0.7
79 1.0 0.8
80 1.0 0.7
81 1.0 0.4
82 1.0 0.8
83 1.0 0.7
84 1.0 0.8
85 1.0 0.9
86 1.0 0.6
87 1.0 0.6
88 1.0 0.8
89 1.0 0.5
90 1.0 0.8
91 1.0 0.8
92 1.0 0.8
93 1.0 0.8
94 1.0 0.6
95 1.0 0.7
96 1.0 0.8
